variant,ticker,entry_date,exit_date,entry_price,exit_price,pnl_pct,r_multiple,exit_reason,same_bar_stop
delay_15m,BSX,2024-11-19,2024-12-04,90.2551,90.7946,0.5977,0.4627,time_exit,False
delay_15m,DLR,2024-11-19,2024-12-04,177.7438,182.5287,2.692,1.5187,time_exit,False
delay_15m,LYV,2024-11-19,2024-12-04,133.0215,136.6217,2.7065,1.9158,time_exit,False
delay_15m,CCL,2024-11-20,2024-12-05,25.0475,26.3168,5.0676,2.5726,time_exit,False
delay_15m,CDNS,2024-12-04,2024-12-05,321.1655,303.6181,-5.4637,-3.6377,stop_hit,False
delay_15m,DXCM,2024-12-04,2024-12-05,80.9755,78.9205,-2.5377,-1.2264,stop_hit,False
delay_15m,AAPL,2024-11-21,2024-12-06,227.5037,241.2493,6.0419,5.6299,time_exit,False
delay_15m,AMD,2024-12-05,2024-12-06,142.7038,138.4607,-2.9733,-1.6446,stop_hit,False
delay_15m,ALL,2024-11-22,2024-12-09,197.5137,194.0929,-1.7319,-1.3212,stop_hit,False
delay_15m,CME,2024-12-04,2024-12-09,224.8924,221.2493,-1.6199,-1.6793,stop_hit,False
delay_15m,BKNG,2024-12-06,2024-12-09,209.6098,203.7181,-2.8108,-3.0047,stop_hit,False
delay_15m,AVGO,2024-12-09,2024-12-10,176.6133,169.3653,-4.1039,-2.3121,stop_hit,False
delay_15m,ECL,2024-12-09,2024-12-10,246.098,243.1983,-1.1782,-1.6329,stop_hit,False
delay_15m,HSY,2024-12-10,2024-12-11,183.0515,170.2548,-6.9907,-3.6018,stop_hit,False
delay_15m,ADBE,2024-12-05,2024-12-12,536.6182,474.3527,-11.6033,-7.4744,stop_hit,False
delay_15m,AVGO,2024-12-12,2024-12-13,178.5492,212.2164,18.856,9.5568,take_profit,False
delay_15m,BA,2024-12-02,2024-12-17,156.3281,172.9435,10.6285,5.6287,time_exit,False
delay_15m,C,2024-12-02,2024-12-17,68.7243,68.5057,-0.3181,-0.2364,time_exit,False
delay_15m,COST,2024-12-02,2024-12-17,966.403,973.503,0.7347,0.6249,time_exit,False
delay_15m,BLK,2024-12-06,2024-12-18,1020.2749,994.8323,-2.4937,-2.3444,stop_hit,False
delay_15m,FTNT,2024-12-09,2024-12-18,98.5192,93.3083,-5.2892,-3.1456,stop_hit,False
delay_15m,APH,2024-12-17,2024-12-18,73.9219,69.3253,-6.2182,-5.7449,stop_hit,False
delay_15m,AVGO,2024-12-17,2024-12-18,237.1535,219.96,-7.25,-2.9465,stop_hit,False
delay_15m,AZO,2024-12-04,2024-12-19,3200.2993,3214.6369,0.448,0.4488,time_exit,False
delay_15m,BDX,2024-12-13,2024-12-19,172.7713,170.9945,-1.0285,-1.0664,stop_hit,False
delay_15m,AMZN,2024-12-05,2024-12-20,219.4197,225.0474,2.5648,1.7514,time_exit,False
delay_15m,ACN,2024-12-20,2024-12-23,359.0394,350.6746,-2.3298,-1.6422,stop_hit,False
delay_15m,AAPL,2024-12-10,2024-12-26,246.138,257.6111,4.6613,5.1025,time_exit,False
delay_15m,GOOG,2024-12-11,2024-12-26,190.9504,196.1019,2.6978,1.9686,time_exit,False
delay_15m,AAPL,2024-12-26,2024-12-27,257.4737,254.1229,-1.3014,-1.3264,stop_hit,False
